证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
1905.HK,海通恒信,3.8340,4.2773,4.5043,4.5398,4.7842,4.8730,5.5023,5.6417,5.9141,5.0682,
1915.HK,泰和小贷,,,,,,,,,,,
1916.HK,江西银行,,,,,,,,,,,
1919.HK,中远海控,8.0724,13.3030,5.9946,35.7707,38.0517,6.4635,3.4775,3.6118,5.6619,-3.1309,2.2578
1958.HK,北京汽车,5.7927,9.3478,12.2592,13.9620,12.2065,10.5086,11.7065,12.6868,10.3979,10.6225,7.3645
1963.HK,重庆银行,,,,,,,,,,,
1973.HK,天图投资,1.1725,-6.1114,-5.2621,1.5545,4.8736,7.1423,2.9173,-8.8505,9.1641,10.5865,13.3296
1983.HK,泸州银行,,,,,,,,,,,
1988.HK,民生银行,,,,,,,,,,,
1989.HK,广合科技,17.1328,16.3894,14.4761,10.1896,3.8541,10.7906,9.1027,7.5949,5.8969,,
2009.HK,金隅集团,0.9880,1.1938,0.8847,2.0544,3.5045,3.7224,4.0304,3.6937,2.9616,3.0224,3.5960
2016.HK,浙商银行,,,,,,,,,,,
2039.HK,中集集团,2.8397,4.7309,2.8928,5.2967,9.5253,5.3801,4.0837,5.5417,4.1773,2.1278,3.7336
2050.HK,三花智控,11.0000,11.0098,12.4528,12.5387,9.6445,10.6341,11.7513,11.9687,14.4504,12.7115,10.3645
2068.HK,中铝国际,1.5764,1.6511,-6.0346,1.1819,-0.5646,-2.4954,1.6608,2.4347,3.3003,4.7988,3.0311
2097.HK,蜜雪集团,29.0091,33.8422,33.9762,30.9034,35.0562,,,,,,
2120.HK,康宁医院,3.5630,3.5217,4.7086,2.3124,5.6314,5.0243,3.8861,6.6601,4.7810,6.5223,9.1474
2121.HK,创新奇智,-10.8116,-21.3314,-18.2997,-14.1791,-35.9339,-32.8137,-30.2199,,,,
2139.HK,甘肃银行,,,,,,,,,,,
2145.HK,上美股份,32.6777,27.7467,18.3422,6.4464,19.0741,14.0772,5.7174,,,,
2146.HK,荣万家,3.7404,3.4812,3.7539,8.0659,18.5715,17.9230,6.2488,4.8263,2.9038,,
2149.HK,贝克微,7.5957,12.0810,12.1543,20.6972,23.0607,10.4939,,,,,
2152.HK,苏新服务,5.3192,6.1199,7.4502,7.0583,6.2642,3.8898,3.3978,3.5415,,,
2157.HK,乐普生物,10.5391,-17.4581,-0.9636,-30.3670,-45.7342,-27.0205,-30.3922,,,,
2163.HK,远大住工,,,-3.1916,-7.4659,1.6562,4.2163,9.9236,8.7664,4.9502,5.5874,4.1762
2170.HK,贝康医疗-B,-14.4991,-12.9488,-12.6276,-8.3633,-13.2661,-351.2247,-353.6024,-105.3137,,,
2176.HK,赛迪顾问,20.3167,24.2060,22.4624,7.9552,11.4787,9.1118,24.5789,15.1005,12.4192,8.9755,8.4085
2179.HK,瑞科生物-B,-31.7162,-26.3176,-24.8617,-34.6414,-40.5402,-19.3122,-15.0296,,,,
2185.HK,百心安-B,-11.1426,-12.0206,-20.9225,-21.9333,-43.0683,-81.0904,-43.6866,,,,
2190.HK,归创通桥,5.1713,1.0277,-4.7221,-6.4103,-11.3252,-28.1737,-31.7304,,,,
2196.HK,复星医药,5.1187,4.5293,3.8433,5.2525,7.5115,6.7119,7.3880,6.5910,8.6344,9.7215,10.3116
2202.HK,万科企业,-5.2187,-1.7772,3.0542,4.2373,4.0495,6.2520,6.8642,6.7857,6.6363,6.9741,7.3071
2208.HK,金风科技,3.1368,2.2231,2.7777,3.2053,4.8038,3.9158,3.7293,5.8790,6.1699,7.1126,7.4718
