市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024,BenchmarkMarket
CSI,002460.SZ,赣锋锂业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,100832297000.0,18726175000.0,1613671000.0,1474383000.0,113258092000.0,0.027265636789996425,25.33672454801043,0.06133950469432216,0.5317816081836909,0.1945271463336884,-0.09587246633883587,0.3557660101703326,0.5280490634860773,0.6947563519032904,0.09145019278892358,CSI_nonSOE
CSI,002466.SZ,天齐锂业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,69556579000.0,13029739000.0,458430000.0,589765000.0,72967793000.0,0.014365173412878199,24.96540634465955,0.04268024498095807,0.5317816081836909,0.18031040414362992,0.11197993219304245,0.31055485060586435,0.28028306279985393,2.5450348642168086,0.06504695982819972,CSI_nonSOE
CSI,002493.SZ,荣盛石化,材料,化工,材料--化工--基础化工--商品化工,民营企业,377845944183.98,301577722845.41,848314274.77,5617068173.04,386633124294.1,0.01672226729050763,26.657752394424023,0.5250106557736014,0.3404756158039197,0.8012539622141189,-0.22033567617211905,0.7318677079072495,0.7490402325094208,0.4846801536404122,0.08358490072615958,CSI_nonSOE
CSI,002594.SZ,比亚迪,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,民营企业,783355855000.0,777102455000.0,32619022000.0,2551657000.0,883729883000.0,0.03979799673697353,27.38685290606703,0.6514550263395998,0.4695797494099714,1.0624110773128392,-0.16009701235972762,0.35851566718678574,0.7463627702125236,0.7471437896361645,0.12428549219179577,CSI_nonSOE
CSI,002600.SZ,领益智造,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,民营企业,45193486000.0,44259533000.0,2287724000.0,380264000.0,57900450000.0,0.04607888194305917,24.53421879835478,0.08973255466064259,0.12235054081259594,1.0721700773287208,0.2156869908198717,0.3021411979593696,0.5607999568787413,1.617010600712082,0.08016923058336327,CSI_nonSOE
CSI,002601.SZ,龙佰集团,材料,化工,材料--化工--基础化工--商品化工,民营企业,66200879676.09,27166725366.75,1244565890.88,401725045.68,64424518688.7,0.025553794891583072,24.915959587959545,0.047294011525280774,0.3404756158039197,0.4178913722069414,-0.10659801655790926,0.4331030068694917,0.6103932682283452,0.7639419581922562,0.023906539290014985,CSI_nonSOE
CSI,002625.SZ,光启技术,工业,国防军工,工业--国防军工--航空航天与国防Ⅲ--航空航天,民营企业,9919567934.64,1540727178.6,686946947.27,-109581295.47,11884396306.72,0.04858182417507653,23.01777520231884,1.0,1.0,0.15643209081690373,0.6542299230138316,0.16847681118488672,0.09933070958052359,9.045747356956003,0.06355567651776761,CSI_nonSOE
CSI,002648.SZ,卫星化学,材料,化工,材料--化工--基础化工--商品化工,民营企业,68305210214.96,45364866882.29,5310687058.76,873927568.44,69564640490.94,0.08890457254652924,24.947251884873687,0.07897479391460861,0.3404756158039197,0.6827576512225698,0.0018469042483433968,0.43591769022048443,0.556333625775406,1.008206481710685,0.04596947141467543,CSI_nonSOE
CSI,002709.SZ,天赐材料,材料,化工,材料--化工--多元化工Ⅲ--特种化工,民营企业,23953390000.0,12518297000.0,1361918000.0,202484000.0,26926734000.0,0.05809846823606606,23.89937569567198,0.021792854111136267,0.3404756158039197,0.522354635206347,0.20563001729609046,0.41452383149107497,0.4437292174510581,1.8382662557878753,0.032208593439174996,CSI_nonSOE
CSI,002714.SZ,牧原股份,日常消费,食品饮料,日常消费--食品饮料--食品--食品加工与肉类,民营企业,187648723830.92,137946892076.87,15486891254.04,2556832463.42,171741086702.08,0.10506352360958636,25.95783756170986,0.2744001291171768,0.21624588016252744,0.7202491146569205,-0.12874007907363855,0.5796445697634816,0.5868011914324892,0.7173736881996811,0.0659782041638375,CSI_nonSOE
