市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
H,1609.HK,天星医疗,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健设备与用品--医疗保健用品,民营企业,"617,334,000.00","327,119,000.00","136,970,000.00","343,000.00","764,081,000.00",0.179710,20.240921,0.000523,0.874431,0.612232,0.640054,0.134255,0.236653,4.105539,0.043994
H,1708.HK,三宝科技,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子设备和仪器,民营企业,"2,386,292,423.53","439,871,713.59","-73,124,665.33","23,255,515.10","2,087,534,960.49",-0.023889,21.593007,0.000476,0.348635,0.167228,0.235642,0.022123,0.489331,1.529575,0.000311
H,1727.HK,河北建设,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,民营企业,"61,835,035,000.00","25,058,949,000.00","-579,782,000.00","419,749,000.00","47,789,192,000.00",-0.003349,24.847736,0.006152,0.215339,0.395499,0.050687,0.015048,0.896661,1.059973,0.000353
H,1768.HK,鸣鸣很忙,可选消费,可选消费零售,可选消费--可选消费零售--多品类零售Ⅲ--多品类零售Ⅳ,民营企业,"10,168,219,000.00","39,343,511,000.00","2,329,141,000.00","14,188,000.00","12,600,846,000.00",0.185966,23.042533,0.285234,0.275644,4.665159,0.217333,0.015543,0.436696,1.566046,0.016342
H,1772.HK,赣锋锂业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,"100,832,297,000.00","18,726,175,000.00","1,613,671,000.00","1,474,383,000.00","113,258,092,000.00",0.027266,25.336725,0.012823,0.221330,0.194527,-0.095872,0.355766,0.528049,0.694756,0.091450
H,1779.HK,天辰生物-B,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,民营企业,"148,909,000.00",,"-175,583,000.00","16,858,000.00","227,557,000.00",-0.697518,18.818846,,0.286802,,0.192520,0.077994,3.218026,1.302616,0.041267
H,1799.HK,新特能源,工业,电气设备,工业--电气设备--电气设备Ⅲ--光伏设备,民营企业,"81,680,586,196.76","21,212,979,955.79","-1,205,476,164.13","669,337,288.36","82,121,100,369.22",-0.006529,25.126082,0.025801,0.233104,0.253123,0.036010,0.564694,0.567906,1.114487,0.073583
H,1858.HK,春立医疗,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健设备与用品--医疗保健设备,民营企业,"3,465,734,982.98","805,857,022.19","272,542,347.59","39,150.21","3,661,134,861.13",0.074453,21.966191,0.001289,0.874431,0.226514,0.661832,0.134975,0.185932,5.195255,0.014188
H,1877.HK,君实生物,医疗保健,医药生物,医疗保健--医药生物--制药--西药,民营企业,"10,800,088,000.00","1,948,317,000.00","-840,910,000.00","74,772,000.00","12,398,984,000.00",-0.061790,23.102820,0.003558,0.286802,0.175821,0.162007,0.385541,0.449055,1.690448,0.063980
H,1989.HK,广合科技,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,民营企业,"5,685,756,000.00","3,734,285,000.00","1,015,789,000.00","16,571,000.00","7,542,073,000.00",0.136880,22.461230,0.004045,0.348635,0.786315,0.117092,0.426106,0.459378,1.304984,0.145541
H,2050.HK,三花智控,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,"36,354,749,000.00","27,947,165,000.00","4,062,892,000.00","135,704,000.00","49,406,131,000.00",0.084981,24.316591,0.030295,0.177102,0.819021,0.238424,0.313737,0.463079,1.635786,0.090501
H,2097.HK,蜜雪集团,可选消费,消费者服务,可选消费--消费者服务--酒店、餐馆与休闲--餐馆,民营企业,"19,783,322,000.00","24,828,874,000.00","5,886,704,000.00","4,931,000.00","30,793,625,000.00",0.191326,23.708105,0.709723,0.533894,1.444510,0.373002,0.268803,0.238711,2.633712,0.073285
H,2120.HK,康宁医院,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健提供商与服务--保健护理设施,民营企业,"3,004,953,160.81","1,654,289,413.23","54,395,979.83","39,058,494.99","3,025,567,371.00",0.030888,21.823528,0.002646,0.874431,0.546634,0.099958,0.357646,0.552971,1.432586,0.063954
